neighborhood_council,2021,2022,2023,2024,2025
ARLETA NC,33848.06,29673.46,35664.98,39779.94,16689.89
ARROYO SECO NC,38134.31,29047.41,31146.51,35461.51,22080.75
ARTS DISTRICT LITTLE TOKYO NC,27044.09,33376.0,29759.38,23490.62,8725.59
ATWATER VILLAGE NC,34104.79,33170.31,32719.27,26565.16,24008.84
BEL AIR-BEVERLY CREST NC,26492.44,29118.88,32794.43,29277.83,22303.22
BOYLE HEIGHTS NC,46727.47,19806.23,35638.92,23939.01,8558.0
CANOGA PARK NC,20196.55,22028.35,23158.4,24832.58,1532.0
CENTRAL ALAMEDA NC,30050.1,5741.0,21966.52,18804.84,10121.2
CENTRAL HOLLYWOOD NC,30899.76,39454.57,34826.64,25724.23,15672.09
CENTRAL SAN PEDRO NC,29222.23,28396.21,31660.17,36343.7,20791.02
CHATSWORTH NC,27240.59,30467.88,34234.51,31845.04,15962.8
COASTAL SAN PEDRO NC,27641.51,30510.08,29301.45,35442.36,28636.49
COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),28071.2,31688.08,17511.9,38910.8,7049.08
DEL REY NC,32905.9,31352.92,43248.63,48157.76,35833.15
DOWNTOWN LOS ANGELES,33250.23,28513.5,27335.07,28873.7,25877.3
EAGLE ROCK NC,36836.97,25095.65,34456.39,17952.6,32742.47
EAST HOLLYWOOD NC,30244.39,29333.38,35962.22,37872.13,18451.01
ECHO PARK NC,36164.1,29897.53,23726.16,26745.4,22223.47
ELYSIAN VALLEY RIVERSIDE NC,40548.37,44176.49,27296.93,25572.55,22121.76
EMPOWERMENT CONGRESS CENTRAL AREA NC,28365.07,19506.85,25859.73,10274.13,25485.02
EMPOWERMENT CONGRESS NORTH AREA NC,45016.28,28269.13,34483.85,30216.24,21589.6
EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,43315.04,13274.25,42543.71,31128.65,26819.69
EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,20900.85,12932.75,58160.66,17190.62,16420.96
EMPOWERMENT CONGRESS WEST AREA NDC,32567.35,32604.52,30747.37,40795.64,13156.07
ENCINO NC,39688.03,33580.36,29424.7,26059.13,22197.48
FOOTHILL TRAILS DISTRICT NC,36259.39,38172.14,28317.2,34375.43,15714.1
GLASSELL PARK NC,35185.11,26604.43,34675.62,36927.04,2409.05
GRANADA HILLS NORTH NC,25532.88,19379.88,19301.51,29446.51,4211.99
GRANADA HILLS SOUTH NC,31058.01,25711.49,39200.97,15198.75,24703.46
GREATER CYPRESS PARK NC,41761.48,31187.01,39286.46,33238.76,34099.85
GREATER TOLUCA LAKE NC,38033.54,36982.59,30635.69,16740.35,19752.51
GREATER VALLEY GLEN,46307.48,38747.84,34142.61,30086.93,13833.44
GREATER WILSHIRE NC,31842.14,30646.2,31153.31,35518.21,18876.74
HARBOR CITY NC,35580.35,37714.71,26484.1,21941.22,31703.59
HARBOR GATEWAY NORTH NC,36594.53,41926.44,31133.51,28435.26,25108.79
HARBOR GATEWAY SOUTH NC,29746.08,36127.62,35159.83,23038.55,23868.12
HERMON NC,30844.7,32586.31,17686.53,48951.21,25861.06
HISTORIC CULTURAL NORTH NC,30890.01,25124.3,23663.43,53683.97,27081.14
HISTORIC HIGHLAND PARK NC,39777.3,36158.46,36838.71,33323.95,25982.2
HOLLYWOOD HILLS WEST NC,33753.08,32445.0,35127.06,22243.03,19609.26
HOLLYWOOD STUDIO DISTRICT NC,42004.91,20531.36,14293.72,4578.14,4599.61
HOLLYWOOD UNITED NC,28986.8,30993.23,23735.37,34301.29,13417.12
LA-32 NC,40586.14,41273.88,35025.32,27680.96,23286.19
LAKE BALBOA NC,28687.31,33727.88,35805.65,23714.86,14899.02
LINCOLN HEIGHTS NC,28247.96,31750.52,18966.28,16669.61,16659.83
LOS FELIZ NC,33408.64,33894.05,34741.02,43443.75,19223.17
MACARTHUR PARK NC,38329.53,19252.31,17102.56,32684.69,23439.18
MAR VISTA NC,36228.4,23591.82,33249.77,35140.62,28070.07
MID CITY NC,29594.87,20564.86,44321.32,16286.92,7629.81
MID CITY WEST CC,34290.43,32248.4,34035.3,33356.33,28007.88
MISSION HILLS NC,17644.66,36323.38,19808.22,31555.85,21886.27
NC VALLEY VILLAGE,37248.33,16429.38,48039.87,33610.85,20446.35
NOHO NC,30784.52,32461.1,21275.79,36950.99,10313.51
NOHO WEST NC,35508.41,41940.87,24769.27,35693.79,14615.64
NORTH HILLS EAST NC,50966.59,28166.87,23226.13,33720.7,28669.81
NORTH HILLS WEST NC,43382.35,32447.68,32258.83,23313.35,12082.2
NORTH HOLLYWOOD NORTH EAST NC,27371.68,36491.22,13164.12,24019.33,35400.22
NORTH WESTWOOD NC,34268.66,13500.0,22405.3,49487.13,21913.97
NORTHRIDGE EAST NC,32334.16,24226.9,31945.86,12944.75,19626.83
NORTHRIDGE SOUTH NC,30981.4,31394.86,26382.36,34934.67,32504.04
NORTHRIDGE WEST NC,29897.94,25785.68,35829.78,32005.89,32356.87
NORTHWEST SAN PEDRO NC,30445.1,31618.64,31219.96,33581.06,19783.83
OLYMPIC PARK NC,45125.14,22221.76,22531.71,14126.32,26436.2
P.I.C.O. NC,44433.67,20755.66,27607.1,15925.14,33529.56
PACOIMA NC,37017.54,23825.28,33183.52,35573.55,41082.27
PALMS NC,46535.18,31981.8,32592.82,18852.91,24606.16
PANORAMA CITY NC,28274.64,20753.55,32993.45,39062.24,16546.8
PARK MESA HEIGHTS NC,30580.7,24793.19,10709.38,27432.34,8211.29
PICO UNION NC,26096.08,37608.69,29622.29,33891.69,23183.83
PORTER RANCH NC,26727.19,31948.61,24424.95,26560.38,11725.92
RAMPART VILLAGE NC,39026.27,30309.45,41845.56,23508.27,29467.26
RESEDA NC,30627.96,38271.22,25301.58,28242.26,27040.46
SHERMAN OAKS NC,40879.06,31488.91,34197.79,29393.73,18043.15
SILVER LAKE NC,36611.29,38675.22,30263.37,37482.8,7515.84
SOUTH CENTRAL NC,27569.08,22287.12,24107.96,27546.33,22480.74
SOUTH ROBERTSON NC,30619.97,26975.61,21274.34,42818.07,20652.28
STUDIO CITY NC,23728.71,17601.99,28394.58,36747.82,13684.97
SUN VALLEY AREA NC,28565.49,33869.91,40159.04,32055.93,22246.37
SUNLAND-TUJUNGA NC,35220.06,33397.74,38951.54,27532.87,17574.74
SYLMAR NC,27096.44,31926.17,32063.19,37573.84,20714.68
TARZANA NC,55445.37,19184.05,31755.49,35505.61,21269.68
UNITED NEIGHBORHOODS NC,19180.95,39300.79,40038.28,30914.0,13492.9
VAN NUYS NC,28609.05,36016.7,34385.7,22896.6,19228.57
VENICE NC,43893.02,19118.74,38455.32,30466.27,19385.97
VOICES NC,38127.31,27237.45,36958.93,18964.42,15226.48
WATTS NC,32694.12,37515.66,10014.23,37241.11,13209.05
WEST ADAMS NC,30578.76,28674.88,44400.47,22830.64,5350.37
WEST HILLS NC,33079.14,31224.4,36539.47,27769.43,18522.79
WEST LOS ANGELES SAWTELLE NC,37076.71,11798.3,31477.62,35366.82,20416.92
WESTCHESTER/PLAYA NC,28688.9,34442.28,29162.31,44215.05,17316.77
WESTLAKE NORTH NC,46843.52,31942.66,28987.31,38104.83,25252.99
WESTLAKE SOUTH NC,56007.27,9263.42,21744.48,18768.85,6284.17
WESTSIDE NC,32225.32,46408.47,27543.27,33951.57,14400.81
WESTWOOD NC,31897.34,20731.57,34374.69,24312.02,19764.81
WILMINGTON NC,40335.4,31847.6,41155.07,29407.43,19053.28
WILSHIRE CENTER - KOREATOWN NC,21655.91,3943.39,928.35,24331.03,21639.97
WINNETKA NC,27287.97,34917.23,25606.66,29616.36,9273.53
WOODLAND HILLS-WARNER CENTER NC,25707.94,39023.52,17723.83,36574.82,22924.2
ZAPATA-KING NC,19949.73,33617.53,31855.67,7130.89,17940.78
